Date,^IRX
2015-08-21,4.999999888241291e-05
2015-08-24,-4.999999888241291e-05
2015-08-25,0.0003799999970942736
2015-08-26,2.0000003278255432e-05
2015-08-27,-4.9999989569187125e-05
2015-08-28,0.0
2015-08-31,-0.0004700000071898103
2015-09-01,0.0003499999875202775
2015-09-02,-0.0001299999840557575
2015-09-03,-0.0001000000070780516
2015-09-04,0.0001000000070780516
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,9.999999776482581e-05
2015-09-10,-0.0002000000048428774
2015-09-11,8.000000379979611e-05
2015-09-14,2.0000003278255486e-05
2015-09-15,0.00032999997958540914
2015-09-16,-4.9999989569187125e-05
2015-09-17,-0.000499999993480742
2015-09-18,6.999999750405549e-05
2015-09-21,3.0000004917383203e-05
2015-09-22,-0.00010000000242143869
2015-09-23,0.0
